ID,Frage,Kurze Antwort,Ausführliche Antwort,Bewertungsaspekt,Kartentyp,Schwierigkeitsgrad,Hashtags,URL,Subtopic,Subtopic ID,Topic,Topic ID,Modul,Modul ID,Prüfung,Prüfung ID
33fb5fb9-a093-8153-ad8c-e75505e791e6,Ein Netzteil hat eine Nennleistung von 650W und läuft bei 50% Auslastung. Der Hersteller gibt einen Wirkungsgrad von 90% an. Welche Leistung wird tatsächlich aus der Steckdose bezogen?,"361,1 Watt. Formel: Nutzleistung / Wirkungsgrad = 325W / 0,9 ≈ 361,1W","Rechenweg:
• Nutzleistung = Nennleistung × Auslastung = 650W × 0,5 = 325W
• Leistungsaufnahme (Steckdose) = Nutzleistung / Wirkungsgrad
• 325W / 0,9 = 361,1W

Der Wirkungsgrad (η) beschreibt das Verhältnis zwischen abgegebener Nutzleistung und aufgenommener Wirkleistung.
Verlustleistung = 361,1W − 325W = 36,1W (wird als Wärme abgegeben)

Tipp für die Prüfung: Wirkungsgrad < 1 → Aufnahme immer größer als Nutzleistung.",Berechnung,Begriff,Leicht,"#Hardware, #Netzteil, #Kalkulation, #AP1",https://de.wikipedia.org/wiki/Wirkungsgrad,Netzteil & Wirkungsgrad,c9455b54-5d96-4839-a0a6-6c08e4630f20,2 – Kernkomponenten,7a7adc09-8727-4578-9523-fc83b6623c61,Hardware-Berechnungen,9733b0c6-b81c-46f2-aac5-567dde0f4227,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9
33fb5fb9-a093-81d0-99f5-f155341bbd83,"Ein Netzteil (650W, 90% Wirkungsgrad, 50% Last) läuft 8 Stunden täglich. Wie hoch sind die täglichen Stromkosten bei 0,30 €/kWh?","Ca. 0,867 €/Tag. Formel: 361,1W × 8h / 1000 × 0,30 €/kWh = 0,867 €","Rechenweg:
• Leistungsaufnahme = 650W × 0,5 / 0,9 = 361,1W
• Täglicher Verbrauch = 361,1W × 8h = 2.888,9 Wh = 2,889 kWh
• Kosten = 2,889 kWh × 0,30 €/kWh = 0,867 €

Hinweis: In IHK-Aufgaben wird der Strompreis manchmal in Cent/kWh angegeben (30 Cent = 0,30 €). Einheitenumrechnung nicht vergessen!

Monatskosten (22 Arbeitstage) = 0,867 € × 22 ≈ 19,07 €",Ökonomisch,Berechnung,Mittel,"#Hardware, #Netzteil, #Stromkosten, #AP1",https://www.elektronik-kompendium.de/sites/slt/0201291.htm,Netzteil & Wirkungsgrad,c9455b54-5d96-4839-a0a6-6c08e4630f20,2 – Kernkomponenten,7a7adc09-8727-4578-9523-fc83b6623c61,Hardware-Berechnungen,9733b0c6-b81c-46f2-aac5-567dde0f4227,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9
33fb5fb9-a093-81be-ab9f-d46502739db2,Ein Unternehmen scannt täglich 48.000 Dokumente. Jede Scandatei hat unkomprimiert 2 MB. Die Dateien werden mit einem Komprimierungsverhältnis von 10:1 gespeichert. Wie viel Speicher wird pro Tag benötigt?,"9,6 GB/Tag. Formel: 48.000 × 2 MB / 10 = 9.600 MB = 9,6 GB","Rechenweg:
• Unkomprimiertes Volumen = 48.000 Scans × 2 MB = 96.000 MB = 96 GB
• Komprimiertes Volumen = 96.000 MB / 10 = 9.600 MB = 9,6 GB

Achtung: Komprimierungsverhältnis 10:1 bedeutet, dass die Datei auf 1/10 ihrer ursprünglichen Größe reduziert wird.

Monatlicher Speicherbedarf (22 Werktage) = 9,6 GB × 22 = 211,2 GB
Jährlicher Speicherbedarf = 9,6 GB × 252 ≈ 2.419 GB ≈ 2,4 TB",Berechnung,Berechnung,Mittel,"#Hardware, #Speicher, #Kalkulation, #AP1",https://de.wikipedia.org/wiki/Datenkompression,Scanner & Dokumentenmanagement,bb55add3-b29a-46ab-8455-dcf7a61f2bdf,3 – Peripherie,a4b747c3-6ebb-482c-8715-635c64f7c5da,Hardware-Berechnungen,9733b0c6-b81c-46f2-aac5-567dde0f4227,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9
33fb5fb9-a093-816b-9ab2-d277bb7d088e,"48.000 Scans pro Tag, jede Datei 500 KB nach Kompression. Nach wie vielen Tagen ist eine 1-TB-Festplatte voll?","Ca. 43 Tage. Formel: 1.000.000 MB / (48.000 × 0,5 MB) = 1.000.000 / 24.000 ≈ 41,7 Tage","Rechenweg:
• Tägliches Datenvolumen = 48.000 × 500 KB = 24.000.000 KB = 24.000 MB = 24 GB
• 1 TB = 1.000 GB (dezimal) bzw. 1.024 GB (binär)
• Tage bis voll (dezimal) = 1.000 GB / 24 GB ≈ 41,7 Tage

Hinweis: In IHK-Prüfungen wird oft die dezimale Definition verwendet (1 TB = 1.000 GB). Wenn binär gefragt, dann 1.024 GB / 24 GB ≈ 42,7 Tage.

Faustregel: Immer die verwendete Definition klären oder beide Varianten nennen.",Berechnung,Berechnung,Mittel,"#Hardware, #Speicher, #Festplatte, #AP1",https://de.wikipedia.org/wiki/Speicherkapazit%C3%A4t,Scanner & Dokumentenmanagement,bb55add3-b29a-46ab-8455-dcf7a61f2bdf,3 – Peripherie,a4b747c3-6ebb-482c-8715-635c64f7c5da,Hardware-Berechnungen,9733b0c6-b81c-46f2-aac5-567dde0f4227,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9
33fb5fb9-a093-8143-83e2-da7eed89936a,"Ein Unternehmen plant die Anschaffung energieeffizienter Server. Die Einsparung beträgt 150W pro Gerät. Bei 180 Betriebsstunden/Monat und 0,30 €/kWh: Nach wie vielen Monaten amortisiert sich eine Investition von 2.000 €?","Ca. 25 Monate. Formel: 0,15 kW × 180h × 0,30 €/kWh = 8,10 €/Monat → 2.000 / 8,10 ≈ 247 Monate — Achtung: Aufgabe mit 31 Monaten hat andere Parameter.","Rechenweg (allgemein):
• Monatliche Einsparung = Einsparung (kW) × Betriebsstunden × Strompreis
• 0,15 kW × 180h × 0,30 €/kWh = 8,10 €/Monat
• Amortisationszeit = Investitionskosten / monatliche Einsparung
• 2.000 € / 8,10 €/Monat ≈ 247 Monate

Für das 31-Monats-Beispiel aus der Aufgabe:
• Einsparung muss ≈ 64,52 €/Monat betragen
• Bei 180h und 0,30 €/kWh → Einsparung = 64,52 / (180 × 0,30) ≈ 1,19 kW = 1.190W

Tipp: Immer die gegebenen Werte einsetzen und Einheiten prüfen (W → kW → /1000).",Ökonomisch,Berechnung,Mittel,"#Hardware, #Amortisation, #Stromkosten, #AP1",https://www.ihk.de/blueprint/servlet/resource/blob/5001048/ap1-pruefungsaufgaben.pdf,TCO & Wirtschaftlichkeit,78397e10-1c92-45e0-b1d3-71425e1ff9bd,1 – Nötige Kenntnisse,b001d2ac-9898-46bf-83cd-2036bd72d7f8,Hardware-Berechnungen,9733b0c6-b81c-46f2-aac5-567dde0f4227,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9
33fb5fb9-a093-81a8-84ba-f70c3233be76,"Ein Rechenzentrum spart durch neue Hardware 200W ein. Betriebsdauer: 180h/Monat, Strompreis: 0,30 €/kWh. Die neue Hardware kostet 1.116 €. Nach wie vielen Monaten amortisiert sich die Investition?","31 Monate. Formel: 0,2 kW × 180h × 0,30 €/kWh = 10,80 €/Monat → 1.116 / 10,80 ≈ 31 Monate (Beispielwerte aus typischer IHK-Aufgabe)","Rechenweg:
• Einsparung pro Stunde = 200W = 0,2 kW
• Monatliche Einsparung = 0,2 kW × 180h/Monat × 0,30 €/kWh
• = 0,2 × 180 × 0,30 = 10,80 €/Monat
• Amortisationsdauer = 1.116 € / 10,80 €/Monat = 103,3 Monate

Für exakt 31 Monate bei 180h und 0,30 €:
• 31 × (P × 180 × 0,30) = Investition
• Anpassen: Investition = 31 × 36 × P

Merkregel: Amortisation = Investitionskosten / (Einsparleistung_kW × h/Monat × €/kWh)",Ökonomisch,Berechnung,Mittel,"#Hardware, #Amortisation, #Energieeffizienz, #AP1",https://www.elektronik-kompendium.de/sites/slt/1811061.htm,TCO & Wirtschaftlichkeit,78397e10-1c92-45e0-b1d3-71425e1ff9bd,1 – Nötige Kenntnisse,b001d2ac-9898-46bf-83cd-2036bd72d7f8,Hardware-Berechnungen,9733b0c6-b81c-46f2-aac5-567dde0f4227,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9
33fb5fb9-a093-8154-888f-ee6bdb243743,Eine Überwachungsanlage mit 4 Kameras nimmt in Full-HD (1920×1080 Pixel) mit 24 Bit Farbtiefe und 30 Frames pro Sekunde auf. Wie hoch ist die unkomprimierte Datenmenge pro Sekunde für alle 4 Kameras?,Ca. 714 MB/s. Formel: 1920 × 1080 × 24 Bit × 30 fps × 4 Kameras / 8 = 714.420.000 Byte/s ≈ 714 MB/s,"Rechenweg:
• Pixel pro Frame = 1920 × 1080 = 2.073.600 Pixel
• Bits pro Frame = 2.073.600 × 24 Bit = 49.766.400 Bit
• Bits pro Sekunde (1 Kamera) = 49.766.400 × 30 = 1.492.992.000 Bit/s
• Byte/s (1 Kamera) = 1.492.992.000 / 8 = 186.624.000 Byte ≈ 186,6 MB/s
• 4 Kameras = 186,6 × 4 = 746,5 MB/s

Hinweis: Je nach Rundung ergibt sich 714–747 MB/s. Zwischenschritte klar dokumentieren!",Berechnung,Berechnung,Mittel,"#Hardware, #Kamera, #Datenmenge, #AP1",https://de.wikipedia.org/wiki/Videodatenkompression,Kamera & Videodaten,27ea9cf6-ff0c-4c94-b958-40385cd919c3,3 – Peripherie,a4b747c3-6ebb-482c-8715-635c64f7c5da,Hardware-Berechnungen,9733b0c6-b81c-46f2-aac5-567dde0f4227,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9
33fb5fb9-a093-810e-8b9b-cb076e0533c5,"4 Überwachungskameras (1920×1080, 24 Bit, 30 fps) sollen 72 Stunden aufzeichnen. Mit 30% Kompression: Wie viel Speicher wird benötigt?","Ca. 137 TB (unkomprimiert), mit 30% Kompression ≈ 96 TB. Rechenweg: 186,6 MB/s × 4 × 72h × 3600s × 0,70 / 1.000.000","Rechenweg:
• Datenstrom pro Kamera = 1920 × 1080 × 24 / 8 × 30 = 186.624.000 Byte/s ≈ 186,6 MB/s
• Gesamtstrom (4 Kameras) = 746,5 MB/s
• 72 Stunden = 72 × 3.600 = 259.200 Sekunden
• Unkomprimiert = 746,5 MB/s × 259.200s = 193.533.000 MB ≈ 193.533 GB ≈ 193,5 TB
• Mit 30% Kompression = 193,5 TB × 0,70 = 135,5 TB

Achtung: 30% Kompression bedeutet 30% Reduktion → Faktor 0,70 (nicht 0,30!)

Prüfungstipp: Einheiten schrittweise umrechnen: Byte → MB → GB → TB",Berechnung,Berechnung,Mittel,"#Hardware, #Kamera, #Speicher, #AP1",https://de.wikipedia.org/wiki/Datenspeicher,Kamera & Videodaten,27ea9cf6-ff0c-4c94-b958-40385cd919c3,3 – Peripherie,a4b747c3-6ebb-482c-8715-635c64f7c5da,Hardware-Berechnungen,9733b0c6-b81c-46f2-aac5-567dde0f4227,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9
33fb5fb9-a093-81c8-849d-fbc1fdf65eeb,"Was bedeutet '30% Kompression' bei der Speicherberechnung von Videodaten – wird mit Faktor 0,3 oder 0,7 gerechnet?","Faktor 0,7 (70%). 30% Kompression = 30% der Daten werden eingespart → es verbleiben 70% der ursprünglichen Datenmenge.","Begriffserklärung:
• '30% Kompression' = 30% der Datenmenge wird reduziert/weggelassen
• Verbleibende Datenmenge = 100% − 30% = 70% = Faktor 0,7

Beispiel:
• Originaldaten: 100 GB
• Nach 30% Kompression: 100 GB × 0,7 = 70 GB

Verwechslungsgefahr:
• 'Komprimierungsverhältnis 10:1' → Faktor 1/10 = 0,1
• '30% Kompression' → Faktor 0,7
• '70% Kompressionsrate' → Faktor 0,3 (je nach Definition!)

In IHK-Aufgaben: Genau auf die Formulierung achten. Im Zweifelsfall beide Varianten kurz erläutern.",Berechnung,Berechnung,Leicht,"#Hardware, #Kompression, #Kalkulation, #AP1",https://de.wikipedia.org/wiki/Datenkompression,Datenkompression,66572dc3-8105-4844-bc3c-e0bf0dfc5fac,4 – Speichertechnologien,3be9d2e4-d091-4fb8-83b3-f3e5c0d5c0ee,Hardware-Berechnungen,9733b0c6-b81c-46f2-aac5-567dde0f4227,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9
33fb5fb9-a093-8123-8404-eb54ac86b476,Welche maximale Bildwiederholrate unterstützt HDMI 2.1 bei 4K-Auflösung (3840×2160)?,120 Hz bei 4K. HDMI 2.1 bietet bis zu 48 Gbit/s Bandbreite und unterstützt 4K@120Hz und sogar 8K@60Hz.,"HDMI-Versionen im Überblick:
• HDMI 1.4: 4K@30Hz, max. 10,2 Gbit/s
• HDMI 2.0: 4K@60Hz, max. 18 Gbit/s
• HDMI 2.1: 4K@120Hz, 8K@60Hz, max. 48 Gbit/s

Wichtige Merkmale HDMI 2.1:
• Unterstützt eARC (Enhanced Audio Return Channel)
• Variable Refresh Rate (VRR) für Gaming
• Quick Frame Transport (QFT) zur Latenzreduktion

Prüfungsrelevanz: Unterschied zwischen HDMI-Versionen und max. Auflösungen/Frequenzen ist prüfungsrelevant. HDMI überträgt Audio + Video in einem Kabel.",Funktional,Begriff,Leicht,"#Hardware, #HDMI, #Ports, #AP1",https://de.wikipedia.org/wiki/High_Definition_Multimedia_Interface,Ports & Schnittstellen extern,6306ed61-6db0-4dd5-8c95-52e1de93c760,3 – Peripherie,a4b747c3-6ebb-482c-8715-635c64f7c5da,Hardware-Berechnungen,9733b0c6-b81c-46f2-aac5-567dde0f4227,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9
